epoch,lr,loss,iou,dice,recall,val_loss,val_iou,val_dice,val_recall
0,9.997779521645793e-05,0.8133226808379678,0.5313088359566619,0.4900354583118241,0.8175257205621399,0.9702056295731488,3.956587390186508e-11,0.36603214985052235,0.0
1,9.991120277927223e-05,0.7160492539405823,0.6006028333552492,0.5478598153058639,0.8641524282836869,0.9937319755554199,3.956587390186508e-11,0.3275334766691745,0.0
2,9.980028840713861e-05,0.6610017699353835,0.6613354818612159,0.586976777357141,0.895816414068902,1.0242699034073774,3.956644261642108e-11,0.2974410570778205,0.0
3,9.964516155915153e-05,0.6550303960547728,0.6747032775577362,0.5903046612218612,0.8714310935734597,1.0173679379855884,3.956644261642108e-11,0.2981932838069972,0.0
4,9.944597532678122e-05,0.6527957705890431,0.6650981233392872,0.5885199350995189,0.8513067412263546,0.838815450668335,0.22891109758835523,0.4193512308051148,0.2290792005078481
5,9.920292628279102e-05,0.6550246985519633,0.6230638246499862,0.5888209310243969,0.8695212399039176,0.5074584028300118,0.8139495127119494,0.6567181274837628,0.8649863359670649
6,9.891625428724366e-05,0.6207916841787451,0.6935921708962496,0.6069828297590548,0.887518922312102,0.6466678100473741,0.5851730651679519,0.5914386610996223,0.8029246588691503
7,9.858624225078842e-05,0.6125623531201306,0.7002981225370408,0.6177343018055326,0.8614007177537027,0.5761479928213007,0.6253290355366359,0.6295979811044579,0.7977491805408172
8,9.821321585546247e-05,0.6187556929448071,0.655350787418606,0.6072239736663446,0.845658076189497,0.55757017696605,0.6888539547714652,0.6420609284808126,0.8340712741202932
9,9.779754323328194e-05,0.5966228667427512,0.6994722518212884,0.6273974812242938,0.892753660838885,0.7433228422613705,0.3896295700402074,0.5061637919778108,0.4694257579009695
10,9.733963460294018e-05,0.609236973173478,0.6852906992363123,0.6217753391317512,0.8449725937248858,0.6258062562521767,0.5766344851589383,0.5891605471094362,0.7063422449354555
11,9.683994186497135e-05,0.6031649919117198,0.6723972049525995,0.6151985665575243,0.8529100610970606,0.515267773586161,0.6656987412431006,0.665451101353016,0.7564444748867346
12,9.629895815577918e-05,0.6036187375293058,0.675923311455267,0.6223496441121449,0.7998410450582863,0.5297679059645709,0.637738524023268,0.6555966107006033,0.7412811069479844
13,9.571721736097092e-05,0.5744366663343766,0.7071357736657478,0.637074248460827,0.8653479720989791,0.5107602494604447,0.6632658064474473,0.6687315960748235,0.8128019602638574
14,9.509529358847659e-05,0.5743940963464624,0.6912717006125039,0.6372890261195243,0.8606183287619307,0.47876016532673554,0.7308370662298538,0.6886203527618979,0.8445061060199126
